rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
68	st_paul_mn	St. Paul	Midwest Grid	Midwest Grid mirror-code archive	Great Lakes Industrial	St. Paul Rescue Arch	Great Lakes Industrial with mirrored plaza around St. Paul Rescue Arch, signature 068	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
69	greensboro_nc	Greensboro	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Greensboro Data Beacon	Coastal Port with timed beacon pylons around Greensboro Data Beacon, signature 069	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
70	jersey_city_nj	Jersey City	Northeast Relay	Northeast Relay power-grid substation	Coastal Port	Jersey City Command Obelisk	Coastal Port with three-cell power dais around Jersey City Command Obelisk, signature 070	Power-cell puzzle 2: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
71	durham_nc	Durham	Southern Evac Line	Southern Evac Line security checkpoint	Coastal Port	Durham Relay Bridge	Coastal Port with dual-gate checkpoint around Durham Relay Bridge, signature 071	Truth-table gate 3: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
72	lincoln_ne	Lincoln	Midwest Grid	Midwest Grid radio tower district	River Lockworks	Lincoln Power Crown	River Lockworks with backward radio mast around Lincoln Power Crown, signature 072	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
73	north_las_vegas_nv	North Las Vegas	Western Corridor	Western Corridor mirror-code archive	Desert Solar Grid	North Las Vegas Signal Spire	Desert Solar Grid with mirrored plaza around North Las Vegas Signal Spire, signature 073	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
74	plano_tx	Plano	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	Plano Rescue Arch	Desert Solar Grid with timed beacon pylons around Plano Rescue Arch, signature 074	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
75	anchorage_ak	Anchorage	Western Corridor	Western Corridor power-grid substation	Mountain Relay	Anchorage Data Beacon	Mountain Relay with three-cell power dais around Anchorage Data Beacon, signature 075	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
76	gilbert_az	Gilbert	Western Corridor	Western Corridor security checkpoint	Desert Solar Grid	Gilbert Command Obelisk	Desert Solar Grid with dual-gate checkpoint around Gilbert Command Obelisk, signature 076	Truth-table gate 4: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
77	madison_wi	Madison	Midwest Grid	Midwest Grid radio tower district	Great Lakes Industrial	Madison Relay Bridge	Great Lakes Industrial with backward radio mast around Madison Relay Bridge, signature 077	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
78	reno_nv	Reno	Western Corridor	Western Corridor mirror-code archive	Desert Solar Grid	Reno Power Crown	Desert Solar Grid with mirrored plaza around Reno Power Crown, signature 078	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
79	chandler_az	Chandler	Western Corridor	Western Corridor drone beacon yard	Desert Solar Grid	Chandler Signal Spire	Desert Solar Grid with timed beacon pylons around Chandler Signal Spire, signature 079	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
80	st_louis_mo	St. Louis	Midwest Grid	Midwest Grid power-grid substation	River Lockworks	St. Louis Rescue Arch	River Lockworks with three-cell power dais around St. Louis Rescue Arch, signature 080	Power-cell puzzle 4: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
81	chula_vista_ca	Chula Vista	Western Corridor	Western Corridor security checkpoint	Coastal Port	Chula Vista Data Beacon	Coastal Port with dual-gate checkpoint around Chula Vista Data Beacon, signature 081	Truth-table gate 1: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
82	buffalo_ny	Buffalo	Northeast Relay	Northeast Relay radio tower district	Coastal Port	Buffalo Command Obelisk	Coastal Port with backward radio mast around Buffalo Command Obelisk, signature 082	Radio rewind mast 2: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
83	fort_wayne_in	Fort Wayne	Midwest Grid	Midwest Grid mirror-code archive	Monsoon Megacity	Fort Wayne Relay Bridge	Monsoon Megacity with mirrored plaza around Fort Wayne Relay Bridge, signature 083	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
84	lubbock_tx	Lubbock	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	Lubbock Power Crown	Desert Solar Grid with timed beacon pylons around Lubbock Power Crown, signature 084	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
85	st_petersburg_fl	St. Petersburg	Southern Evac Line	Southern Evac Line radio tower district	Coastal Port	St. Petersburg Signal Spire	Coastal Port with backward radio mast around St. Petersburg Signal Spire, signature 085	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
86	toledo_oh	Toledo	Midwest Grid	Midwest Grid mirror-code archive	Great Lakes Industrial	Toledo Rescue Arch	Great Lakes Industrial with mirrored plaza around Toledo Rescue Arch, signature 086	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
87	laredo_tx	Laredo	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	Laredo Data Beacon	Desert Solar Grid with timed beacon pylons around Laredo Data Beacon, signature 087	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
